Code	ABOUT	CONSOLE	VIEW-INTRODUCTION	VIEWER	APPLICATIONS	APPLICATIONS-CHART	HELLO	GRID	CHART	NEWS	CLOSE-TAB	CLOSE-ALL-TABS	MOVE-ALL-TABS-TO	CLOSE-OTHER-TABS	FLIP-LEFT-RIGHT	FLIP-TOP-BOTTOM	FLIP-ORIENTATION	COLLAPSE-RIGHT	COLLAPSE-LEFT	COLLAPSE-TOP	COLLAPSE-BOTTOM	MOVE-TO-LOCATION	VIEWER	SWITCH-USER	PREFERENCES	OPEN-GADGETS-MENU	OPEN-APPLICATIONS	OPEN-APPLICATIONS-CHART	OPEN-GRID	OPEN-NEWS	OPEN-CHART	NEWS-DATA-1	APPLICATIONS-DATA-1	OPEN-IN-NEW-WINDOW	OPEN-VIEWER	GO-TO-CONSOLE	WINDOW	THIS-WINDOW	COMPARE	MAIN-ZONE-MESSAGE	LOADING	GADGETS-ON-PANEL	GADGETS-ACTIONS	OPEN-IN	CLOSE	MOVE-TO	GADGET-OPENED-HERE	NEW-WINDOW	AWESOME
EN	About	Console	View Introduction	Viewer	Applications	Applications Chart	Hello	Grid	Chart	News	Close Tab	Close all tabs	Move all tabs to	Close other tabs	Flip Left Right	Flip Top Bottom	Flip Orientation	Collapse Right	Collapse Left	Collapse Top	Collapse Bottom	Move to Location	Viewer	Switch User	Preferences	Open Gadgets Menu	Open Applications	Open Applications Chart	Open Grid	Open News	Open Chart	Sample Intranet News	Demonstrates workflow data via charts	Open in new window	Open Viewer	Go to Console	Window	This window	Compare	Click on toolbar gadget controls to open gadgets!	Loading	Gadgets on this panel	Gadget Actions	Open in	Close	Move to	Gadget currently opened here	New window	Awesome
zn-CH	关于	安慰	查看简介	查看器	应用	应用图	你好	格	图表	新闻	关闭标签页	关闭所有标签页	将所有选项卡	关闭其他标签页	翻转向左向右	翻转顶部底部	翻转方向	关闭右	倒台	关闭顶部	折叠底	移动到另一个位置	查看器	切换用户	优先	打开小工具菜单	打开应用程序	打开应用程序图	开放网格	打开新闻	打开图表	样本内联网新闻	演示通过图表数据工作流程	在新窗口打开	打开浏览器	转到控制台	窗口	该窗口	比较	点击工具栏上的小工具控制打开的小工具！	载入中	此面板上的小工具	小配件操作	打开	关	搬去	小工具目前在这里隆重开幕	新窗户	真棒
ES	Acerca de	Consola	Ver Introducción	Espectador	aplicaciones	Tabla de aplicaciones	Hola	Cuadrícula	Gráfico	Noticias	Cerrar pestaña	Cierra todas las pestañas	Mover todas las fichas a	Cerrar las otras pestañas	Voltear Izquierda Derecha	Voltear Superior Inferior	flip Orientación	Contraer derecho	Contraer izquierda	Collapse	colapso Bottom	Mover a la ubicación	Espectador	Cambiar de usuario	preferencias	Gadgets Abrir menú	Las aplicaciones abiertas	Tabla de aplicaciones abiertas	Open Grid	Noticias abierto	Carta abierta	Noticias de la muestra Intranet	Demuestra los datos de flujo de trabajo a través de las cartas	Abrir en Nueva ventana	Visor abierto	Ir a la consola	Ventana	esta ventana	Comparar	Haga clic en los controles de gadget barra de herramientas para abrir aparatos!	Cargando	Aparatos de este panel	acciones Gadget	Abrelo	Cerca	Mover a	Gadget Actualmente abrió aquí	Nueva ventana	Increíble
HI	के बारे में	कंसोल	देखें परिचय	दर्शक	अनुप्रयोगों	आवेदन चार्ट	नमस्ते	जाल	चार्ट	समाचार	टैब बंद करें	सभी टैब को बंद करें	करने के लिए सभी टैब ले जाएँ	अन्य टैब बंद करें	फ्लिप बायां दायां	ऊपर से नीचे फ्लिप	फ्लिप अभिविन्यास	अधिकार को संकुचित करें	संकुचित वाम	संकुचित करें शीर्ष	संक्षिप्त करें नीचे	स्थान पर ले जाने	दर्शक	उपयोगकर्ता बदलें	पसंद	ओपन गैजेट्स मेनू	ओपन आवेदन	ओपन आवेदन चार्ट	ओपन ग्रिड	समाचार ओपन	ओपन चार्ट	नमूना इंट्रानेट समाचार	चार्ट के माध्यम से कार्यप्रवाह डेटा दर्शाता	नई विंडो में खोलें	ओपन व्यूअर	कंसोल पर जाएं	खिड़की	इस विंडो	तुलना	गैजेट को खोलने के लिए उपकरण पट्टी गैजेट नियंत्रण पर क्लिक करें!	लोड हो रहा है	इस पैनल पर गैजेट्स	गैजेट क्रिया	में खुलेगा	बंद करे	करने के लिए कदम	गैजेट वर्तमान में यहां खोला	नयी खिड़की	बहुत बढ़िया
AR	حول	وحدة التحكم	مشاهدة مقدمة	مشاهد	تطبيقات	تطبيقات الرسم البياني	مرحبا	شبكة	خريطة	أخبار	إغلاق علامة التبويب	إغلاق كافة علامات التبويب	نقل كافة علامات التبويب ل	إغلاق علامات التبويب الأخرى	الوجه إلى اليسار إلى اليمين	الوجه أعلى القاع	التوجيه الآخر	طي اليمين	طي اليسار	طي الأعلى	انهيار القاع	الانتقال إلى الموقع	مشاهد	تغير المستخدم	تفضيلات	الأدوات فتح القائمة	تطبيقات مفتوحة	تطبيقات مفتوحة الرسم البياني	فتح الشبكة	أخبار مفتوحة	فتح الرسم البياني	عينة إنترانت الأخبار	يوضح بيانات العمل عن طريق الرسوم البيانية	افتح في نافذة جديدة	فتح عارض	الذهاب إلى وحدة التحكم	نافذة او شباك	هذه النافذة	قارن	انقر على الضوابط شريط الأدوات أداة لفتح الأدوات!	جار التحميل	الأدوات على هذا الفريق	تطبيقات التطبيقات المصغرة	فتح في	قريب	الانتقال إلى	أداة المفتوحة حاليا هنا	نافذة جديدة	رائع
PT	Sobre	Console	Ver Introdução	espectador	aplicações	aplicações Gráfico	Olá	Grade	Gráfico	Notícia	Aba fechada	Feche todas as abas	Mover a todas as guias	Fechar outras guias	Virar Esquerda Direita	Flip Top inferior	Orientação aleta	Recolher direito	Recolher Esquerda	Recolher Top	Fechar inferior	Mover-se para Localização	espectador	Mudar de utilizador	preferências	Abertas Gadgets menu	Aplicações abertas	Aplicações Open Chart	Grade aberta	Abrir Notícias	Abrir Gráfico	Amostra Intranet Notícias	Demonstra dados de fluxo de trabalho por meio de gráficos	Abra em uma nova janela	Abra o Visualizador	Ir para Console	Janela	esta janela	Comparar	Clique nos controles do gadget barra de ferramentas para abrir dispositivos!	Carregando	Dispositivos neste painel	ações Gadget	Aberto em	Fechar	Mover para	Gadget atualmente aberto aqui	Nova janela	Impressionante
BN	সম্বন্ধে	কনসোল	দেখুন ভূমিকা	দর্শক	অ্যাপ্লিকেশন	অ্যাপ্লিকেশন চার্ট	হ্যালো	গ্রিড	তালিকা	খবর	ট্যাব বন্ধ করুন	সমস্ত ট্যাবগুলি বন্ধ	সব ট্যাব সরান	অন্যান্য ট্যাব বন্ধ করুন	ফ্লিপ বাম ডান	শীর্ষ বটম ফ্লিপ	ফ্লিপ স্থিতিবিন্যাস	রাইট সঙ্কুচিত করুন	সঙ্কুচিত বাম	সঙ্কুচিত শীর্ষ	সঙ্কুচিত বটম	অবস্থান সরান	দর্শক	ব্যবহারকারী বদল করুন	পছন্দসমূহ	ওপেন গ্যাজেটগুলি মেনু	খোলা অ্যাপ্লিকেশানগুলি	খোলা অ্যাপ্লিকেশানগুলি চার্ট	ওপেন গ্রিড	সংবাদ খুলুন	ওপেন চার্ট	নমুনা ইন্ট্রানেট সংবাদ	চার্ট মাধ্যমে কর্মপ্রবাহ তথ্য প্রমান	নতুন উইন্ডোতে খুলুন	ওপেন ভিউয়ার	কনসোল যান	জানলা	এই উইন্ডোটি	তুলনা করা	গ্যাজেটগুলি খুলতে টুলবার গ্যাজেট নিয়ন্ত্রণ ক্লিক করুন!	বোঝাই	এই প্যানেলে গ্যাজেটগুলি	গ্যাজেট পদক্ষেপ	খোলা	ঘনিষ্ঠ	চলো	গ্যাজেট বর্তমানে এখানে খোলা	নতুন জানালা	অসাধারণ
RU	Около	Консоль	Просмотр Введение	зритель	Приложения	Приложения Диаграмма	Здравствуйте	сетка	Диаграмма	Новости	Закрыть вкладку	Закрыть все вкладки	Переместить все вкладки в	Закрыть другие вкладки	Флип Left Right	Flip Top Bottom	Флип ориентация	Collapse право	Collapse слева	Свернуть Вверх	Collapse Bottom	Переместить Расположение	зритель	Поменять пользователя	предпочтения	Открытые гаджеты Меню	Open Applications	Open Applications Chart	Open Grid	Открыть Новости	Open Chart	Пример Intranet Новости	Демонстрирует данные рабочего процесса посредством диаграмм	Открыть в новом окне	Открыть просмотр	Перейти к консоли	Окно	Это окно	сравнить	Нажмите на панели инструментов управления гаджета, чтобы открыть гаджеты!	загрузка	Гаджеты на этой панели	Гаджет действия	Открыть в	Закрыть	Переместить	Гаджет в настоящее время открыт здесь	Новое окно	Потрясающие
JA	約	コンソール	ビューはじめに	ビューア	アプリケーション	アプリケーションチャート	こんにちは	グリッド	チャート	ニュース	タブを閉じます	すべてのタブを閉じます	にすべてのタブを移動します	他のタブを閉じます	左右フリップ	トップ下フリップ	フリップオリエンテーション	右折りたたみます	左折りたたみます	トップ折りたたみます	折りたたみボトム	場所に移動	ビューア	ユーザーの切り替え	環境設定	オープンガジェットメニュー	開いているアプリケーション	開いているアプリケーションチャート	オープン・グリッド	オープンニュース	オープンチャート	サンプルイントラネットニュース	チャートを介したワークフローデータをデモ	新しいウィンドウで開きます	オープンビューア	コンソールに移動	窓	このウィンドウ	比較します	ガジェットを開くには、ツールバーのガジェットのコントロールをクリックして！	積載	このパネル上のガジェット	ガジェットアクション	で開きます。	閉じる	へ引っ越す	ガジェットは現在、ここに開かれました	新しい窓	驚くばかり
